job_id,status,source_experiment_id,model,workload,gpu_count,tensor_parallel_size,request_rate,mst_rate,energy_joules,incremental_energy_joules,energy_kwh,avg_power_w,idle_avg_power_w,incremental_avg_power_w,min_power_w,p50_power_w,p90_power_w,p95_power_w,p99_power_w,max_power_w,energy_per_successful_request_j,incremental_energy_per_successful_request_j,energy_per_total_request_j,incremental_energy_per_total_request_j,energy_per_total_token_j,incremental_energy_per_total_token_j,successful_requests,started_requests,total_input_tokens,total_output_tokens,total_tokens,monitor_duration_s,repeat_count,successful_repeat_count
meta-llama-codellama-34b-instruct-hf-live-sharegpt-workload-context-1-r19_89,succeeded,codellama-34b-instruct-h100-tp2,meta-llama/CodeLlama-34b-Instruct-hf,live_sharegpt_workload_context_16384,2,2,19.89,19.8960809565,287644.748258,234382.008705,0.0799013189607,1313.43528122,243.205932911,1070.22934831,255.24,1384.415,1389.523,1391.358,1396.52666667,1403.064,79.3220691372,64.6341197354,79.314703131,64.6281170684,0.132943574254,0.108326630591,3626.33333333,3626.66666667,988445,1175258,2163703,219.002632528,3,3
qwen-qwen3-4b-instruct-2507-live-sharegpt-workload-context-r57_89,succeeded,qwen3-4b-instruct-h100-tp1,Qwen/Qwen3-4B-Instruct-2507,live_sharegpt_workload_context,1,1,57.89,57.8976249679,182990.105374,143375.867342,0.0508305848262,572.015725941,123.831,448.184725941,126.433666667,686.717,693.2584,694.500333333,696.790333333,710.922,17.6286754967,13.8123893576,17.6286754967,13.8123893576,0.0341065092354,0.0267230710461,10380.3333333,10380.3333333,2479998,2885290.66667,5365288.66667,319.905662008,3,3
google-gemma-4-26b-a4b-it-live-sharegpt-workload-context-m-r50,succeeded,gemma-4-26b-a4b-it-h100-tp2,google/gemma-4-26B-A4B-it,live_sharegpt_workload_context_mst_anomaly_rerun,2,2,50,50,231851.862994,179159.6263,0.064403295276,1013.52196224,230.340064983,783.18189726,230.394666667,1100.43633333,1155.50626667,1168.4966,1188.56451333,1207.62033333,25.7111797999,19.8677788384,25.7111797999,19.8677788384,0.0481303401688,0.0371917176503,9017.66666667,9017.66666667,2224072.66667,2593162.33333,4817235,228.758451976,3,3
qwen-qwen3-32b-live-sharegpt-workload-context-m-r36_25,succeeded,qwen3-32b-h100-tp4,Qwen/Qwen3-32B,live_sharegpt_workload_context_mst_anomaly_rerun,4,4,36.25,36.25,896632.346526,692414.928079,0.249064540702,2150.22528463,489.736044206,1660.48924042,505.042333333,1798.90016667,2740.48076667,2747.21243333,2759.78780667,2785.59233333,136.571340857,105.465730138,136.571340857,105.465730138,0.264047979462,0.203908168127,6565.66666667,6565.66666667,1571852.33333,1824065.33333,3395917.66667,416.994870732,3,3
qwen-qwen3-30b-a3b-instruct-2507-live-sharegpt-workload-context-m-r68,succeeded,qwen3-30b-a3b-instruct-h100-tp2,Qwen/Qwen3-30B-A3B-Instruct-2507,live_sharegpt_workload_context_mst_anomaly_rerun,2,2,68,68,328161.476738,241904.145391,0.0911559657606,964.18951615,253.436312939,710.753203212,253.876333333,1145.48,1253.85736667,1273.31256667,1304.48736333,1368.10333333,26.8433219172,19.7876136927,26.8433219172,19.7876136927,0.0519114223529,0.0382666334081,12222.3333333,12222.3333333,2925526.66667,3394053.33333,6319580,340.351113645,3,3
meta-llama-codellama-34b-instruct-hf-live-sharegpt-workload-context-1-r34_1,succeeded,codellama-34b-instruct-h100-tp4,meta-llama/CodeLlama-34b-Instruct-hf,live_sharegpt_workload_context_16384,4,4,34.1,34.107906219,555941.933172,452146.551671,0.15442831477,2562.30779139,478.387066849,2083.92072454,490.65,2734.42816667,2752.255,2758.19188333,2769.85144333,2787.582,90.1567079816,73.3243857284,90.1567079816,73.3243857284,0.148527536582,0.120797333288,6167,6167,1739997.33333,2003357,3743354.33333,216.969455685,3,3
openai-gpt-oss-120b-live-sharegpt-workload-context-r8_82,succeeded,gpt-oss-120b-h100-tp4,openai/gpt-oss-120b,live_sharegpt_workload_context,4,4,8.82,8.82668555048,329441.282753,228408.585085,0.0915114674313,1607.10127955,492.867803854,1114.23347569,501.756666667,1693.97066667,1803.90026667,1823.88688333,1867.80156667,1896.01566667,208.456560791,144.511031557,204.541609491,141.796287128,0.422839134624,0.293128625251,1581,1611.33333333,355600.666667,423861,779461.666667,204.989445197,3,3
openai-gpt-oss-120b-live-sharegpt-workload-context-8-r4_91,succeeded,gpt-oss-120b-h100-tp1,openai/gpt-oss-120b,live_sharegpt_workload_context_8192,1,1,4.91,4.91422988791,119729.483003,93689.8678486,0.0332581897232,575.020662036,125.059116124,449.961545913,127.952666667,617.047666667,643.969666667,651.835283333,667.50978,688.481333333,135.161810487,105.759537489,132.662564904,103.804252777,0.278110359164,0.217612941883,886.333333333,903,196060,234668,430728,208.218448698,3,3
meta-llama-llama-3-1-8b-instruct-live-sharegpt-workload-context-m-r47_5,succeeded,llama-3-1-8b-instruct-h100-tp1,meta-llama/Llama-3.1-8B-Instruct,live-sharegpt-workload-context_mst_anomaly_rerun,1,1,47.5,47.5,203286.916725,158149.304487,0.0564685879792,585.823993349,130.075539683,455.748453667,133.349333333,688.377833333,693.963133333,695.026166667,697.281333333,703.860333333,23.9219910927,18.6103884319,23.9219910927,18.6103884319,0.0470029993127,0.0365665245753,8498,8498,1985089.33333,2339934,4325023.33333,347.010762733,3,3
meta-llama-llama-2-70b-chat-hf-live-sharegpt-workload-context-4-r18,succeeded,llama-2-70b-chat-h100-tp4,meta-llama/Llama-2-70b-chat-hf,live-sharegpt-workload-context-4096_mst_anomaly_rerun,4,4,18,18,559308.222551,455604.813316,0.155363395153,2590.96332918,480.399175439,2110.56415374,490.386666667,2749.29783333,2763.66036667,2767.54316667,2774.70373333,2784.59833333,173.620322608,141.428144558,173.620322608,141.428144558,0.306062457696,0.249313208405,3222,3222,787127.333333,1040638,1827765.33333,215.869249026,3,3
google-gemma-4-26b-a4b-it-live-sharegpt-workload-context-r16_52,succeeded,gemma-4-26b-a4b-it-h100-tp1,google/gemma-4-26B-A4B-it,live_sharegpt_workload_context,1,1,16.52,16.5278454428,99640.2130598,14158.2227248,0.0276778369611,221.702992055,190.197311612,31.5056804422,189.252666667,222.2515,231.600566667,234.42205,245.668,368.644666667,33.9294330723,4.82142843114,33.9294330723,4.82142843114,0.0650927830454,0.00924965686008,2936.66666667,2936.66666667,687650.666667,843075,1530725.66667,449.438478443,3,3
qwen-qwen3-32b-live-sharegpt-workload-context-r23_34,succeeded,qwen3-32b-h100-tp2,Qwen/Qwen3-32B,live_sharegpt_workload_context,2,2,23.34,23.3421288007,296339.016862,242050.996181,0.0823163935728,1277.02812632,233.946095238,1043.08203108,234.827666667,1381.69166667,1388.03473333,1389.729,1392.98841333,1399.40433333,69.995494235,57.1726782611,69.995494235,57.1726782611,0.1367819461,0.111724198912,4234,4234,1003945.66667,1162775.66667,2166721.33333,232.053544754,3,3
google-gemma-4-31b-it-live-sharegpt-workload-context-r11_58,succeeded,gemma-4-31b-it-h100-tp2,google/gemma-4-31B-it,live_sharegpt_workload_context,2,2,11.58,11.5836602766,248236.644136,196409.761283,0.0689546233712,1126.14372226,235.128250529,891.015471728,235.803,1213.1115,1285.0536,1301.87766667,1336.73333333,1373.46666667,118.439210891,93.7007354682,118.439210891,93.7007354682,0.223988240191,0.177203669104,2097,2097,504197,604638.666667,1108835.66667,220.419633695,3,3
google-gemma-4-26b-a4b-it-live-sharegpt-workload-context-m-r60,succeeded,gemma-4-26b-a4b-it-h100-tp4,google/gemma-4-26B-A4B-it,live_sharegpt_workload_context_mst_anomaly_rerun,4,4,60,60,380424.837839,268894.092886,0.105673566066,1684.32201764,493.79682411,1190.52519353,502.182666667,1803.42966667,1943.28793333,1983.01948333,2049.81466667,2130.93966667,34.8537012649,24.6353907161,34.8537012649,24.6353907161,0.0654088514665,0.0462324915518,10915,10915,2675287.66667,3140855.66667,5816143.33333,225.863633599,3,3
qwen-qwen3-14b-live-sharegpt-workload-context-r27_26,succeeded,chat-rerun-sharegpt-qwen3-14b-control,Qwen/Qwen3-14B,live_sharegpt_workload_context,1,1,27.26,27.2676192184,290634.30473,226391.096249,0.0807317513139,555.746283869,122.845193818,432.901090051,126.489,499.706666667,693.533266667,694.757333333,697.096666667,703.083666667,58.9481828852,45.917654556,58.9481828852,45.917654556,0.113668857318,0.0885423210182,4933.33333333,4933.33333333,1177557.66667,1380793.33333,2558351,522.960699437,3,3
google-gemma-4-31b-it-live-sharegpt-workload-context-8-r0_97,succeeded,gemma-4-31b-it-h100-tp1,google/gemma-4-31B-it,live_sharegpt_workload_context_8192,1,1,0.97,0.977229504758,99807.4288527,73839.3369412,0.0277242857924,463.849441505,120.668196324,343.181245181,122.525333333,491.404666667,509.410933333,524.016266667,545.286993333,593.98,621.94734158,460.165499374,621.94734158,460.165499374,1.1724588506,0.867468175649,161,161,37181,48358.3333333,85539.3333333,215.202453526,3,3
meta-llama-llama-3-1-70b-instruct-live-sharegpt-workload-context-m-r20_62,succeeded,llama-3-1-70b-instruct-h100-tp4,meta-llama/Llama-3.1-70B-Instruct,live_sharegpt_workload_context_mst_anomaly_rerun,4,4,20.62,20.625,558315.33552,454421.023545,0.1550875932,2570.79792323,478.386380785,2092.41154244,490.597666667,2749.29366667,2763.71446667,2768.34911667,2775.64267667,2791.07333333,146.918885424,119.57942704,146.906141548,119.569052594,0.294666672277,0.239833550752,3802.33333333,3802.66666667,864116.666667,1031921,1896037.66667,217.176567202,3,3
qwen-qwen3-30b-a3b-thinking-2507-live-sharegpt-workload-context-r22_75,succeeded,qwen3-30b-a3b-thinking-h100-tp1,Qwen/Qwen3-30B-A3B-Thinking-2507,live_sharegpt_workload_context,1,1,22.75,22.7593775338,128937.677449,101082.997956,0.0358160215137,596.162006782,128.788559733,467.373447049,133.014333333,634.617333333,653.504666667,658.682666667,666.979,697.891666667,31.9229531085,25.0261911425,31.9229531085,25.0261911425,0.0626732749585,0.049133106046,4039.33333333,4039.33333333,951924.333333,1105521.66667,2057446,216.282250152,3,3
